keyword,score
workday,0.16899005898239938
experience,0.1550648631857804
react,0.15115397280435247
sql,0.13915416190347032
peoplesoft,0.13791196834317818
application,0.11979798177230248
using,0.11796947339716703
server,0.11465475568796672
data,0.10459169854889958
project,0.10442595172070362
business,0.08869791275775876
knowledge,0.08852960013963533
reports,0.0879979518532539
web,0.08564566511225782
integrations,0.08185293545406726
development,0.07564363242980816
database,0.0736405082258442
design,0.07277725636287932
team,0.0719727741292957
worked,0.07176410584161612
skills,0.07082527775406243
good,0.06938349984800013
management,0.06914197064568274
tools,0.06282107183221772
services,0.06268464251899203
working,0.060389367500526044
client,0.06024078680612334
process,0.059694442271485106
support,0.05960094820710193
technical,0.059301807247927794
people,0.05926298593539064
like,0.05874420642146585
work,0.05811499344915895
involved,0.058065417871482915
hcm,0.05584879204279403
testing,0.05511248697215259
eib,0.054914472555835786
new,0.05431246382650745
creating,0.05378540594119802
integration,0.05278084207702963
created,0.05198811644685582
responsibilities,0.049971431716068604
report,0.04982152144563602
environment,0.04980857515651413
oracle,0.048138252968324274
production,0.04658938648413401
security,0.045593871407088815
various,0.04389385068212806
servers,0.04345203985803687
issues,0.03911666370450869
